Property_Title,Property_URL,Location,Address,Price,Rate_per_sqft,Deposit,Property_Type,Room_Type,Bedrooms,Bathrooms,Balconies,Furnishing,Carpet_Area,Available_From,Available_For,Posted_By,Posted_Date,Rating,Nearby_Places,Scraped_Date
"1RK1BathStudio Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",https://www.99acres.com/studio-apartment-flat-for-rent-in-dlf-capital-greens-1-and-2-moti-nagar-west-delhi-361-sq-ft-spid-F85351346,Paschim ViharStudio Apartments for rent in Tagore GardenStudio Apartments for re,Flat Flats for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 361 Sq. Ft.- 3rd floor (out of ,"₹ 23,000",₹0,"₹ 46,000",Apartment/Flat,N/A,1,1,N/A,Furnished,361 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:13:50
"3BHK3BathsIndependent/Builder Floor for Rentin Janakpuri, West Delhi",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-rent-in-janakpuri-west-delhi-1500-sq-ft-r1-spid-G83030006,"Paschim Vihar, DelhiEnquire NowContact NowVerifiedSandeep Kumar (Dealer) 08th Se",RWA (+250)BLM (+590)SHN (+290)KNA (+1869)LCA (+1758)MAF (+1599)SPM (+508)VCT (+1784)WSM (+685)SMR (+,"₹ 65,000",₹0,N/A,Independent,N/A,3,3,1,Semi-Furnished,1500 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:14:00
"3BHK3BathsFlat/Apartment for Rentin DDA B5 and 6 Block D, Vasant Kunj, Delhi",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-dda-b5-and-6-block-d-vasant-kunj-south-delhi-1800-sq-ft-spid-A83860752,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in DDA B5 and 6 Block D Vasant Kunj Delhi - 1800 Sq. Ft.- 1st floor (out of 3),₹ 1,₹0,N/A,Apartment/Flat,N/A,3,3,2,Semi-Furnished,1800 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:14:09
"3BHK3BathsIndependent/Builder Floor for Rentin Safdarjung Enclave RWA, Safdarjung Enclave, Delhi",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-rent-in-safdarjung-enclave-rwa-safdarjung-enclave-south-delhi-1700-sq-ft-spid-Y85460966,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",RWA Safdarjung Enclave Delhi - 1700 Sq. Ft.- Ground floor (out of 4),₹ 1.2,₹0,N/A,Independent,N/A,3,3,1,Furnished,1700 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:14:18
"3BHK2BathsFlat/Apartment for Rentin premium Society , Mayur Vihar Phase 1 Extension, Delhi",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-mayur-vihar-phase-1-extension-east-delhi-1700-sq-ft-spid-G85815848,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in Mayur Vihar Phase 1 Extension Delhi - 1700 Sq. Ft.- 2nd floor (out of 7),"₹ 75,000",₹0,"₹ 1,50,000",Apartment/Flat,N/A,3,2,2,Furnished,1700 sq.ft,01 Nov,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:14:28
"4BHK4BathsFlat/Apartment for Rentin Vatika Apartment, Sector C Vasant Kunj, Delhi",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-rent-in-vatika-apartment-sector-c-vasant-kunj-south-delhi-2000-sq-ft-spid-Y84570160,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in Vatika Apartment Sector C Vasant Kunj Delhi - 2000 Sq. Ft.- 1st floor (out of 4),₹ 2,₹0,N/A,Apartment/Flat,N/A,4,4,2,Unfurnished,2000 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:14:36
"4BHK4BathsFlat/Apartment for Rentin C BLOCK VASANT KUNJ, Sector C Vasant Kunj, Delhi",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-rent-in-sector-c-vasant-kunj-south-delhi-2100-sq-ft-spid-D85456130,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in Sector C Vasant Kunj Delhi - 2100 Sq. Ft.- Ground floor (out of 3),"₹ 85,000",₹0,N/A,Apartment/Flat,N/A,4,4,2,Furnished,2100 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:14:46
"3BHK4BathsIndependent/Builder Floor for Rentin South Delhi Premium Builder Floors, Defence Colony, South Delhi",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-rent-in-south-delhi-premium-builder-floors-defence-colony-south-delhi-2925-sq-ft-r20-spid-O45329141,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyDealer DetailsExplore LocalityRecommendationsArticlesHome›Property for rent in Delhi / NCR›Pr,₹ 2.85,N/A,N/A,Independent,N/A,3,4,N/A,Furnished,2925 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:14:55
"9Bedrooms10BathsIndependent House/Villa for Rentin Defence Colony Villas, Defence Colony, South Delhi",https://www.99acres.com/9-bhk-bedroom-independent-house-villa-for-rent-in-defence-colony-villas-defence-colony-south-delhi-2700-sq-ft-r17-spid-N45724519,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",House / Villa for rent in Defence Colony Villas Defence Colony South Delhi - 2700 Sq. Ft.,₹ 8.5,N/A,N/A,Independent,N/A,9,10,N/A,N/A,2700 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:15:05
"4BHK4BathsIndependent/Builder Floor for Rentin SDA, Safdarjung Development Area, Delhi",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-rent-in-safdarjung-development-area-south-delhi-4050-sq-ft-spid-L85149230,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyCorner PropertyFeng Shui/ Vaastu CompliantAiry RoomsParking AvailableModular KitchenFitness C,₹ 3,N/A,"₹ 6,00,000",Independent,N/A,4,4,2,Furnished,4050 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:15:14
"4BHK4BathsIndependent/Builder Floor for Rentin RWA Greater Kailash 2, Greater Kailash 2, Delhi",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-rent-in-rwa-greater-kailash-2-greater-kailash-2-south-delhi-2700-sq-ft-spid-I84967074,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",RWA Greater Kailash 2 Greater Kailash 2 Delhi - 2700 Sq. Ft.- 1st floor (out of 4),₹ 1.7,N/A,"₹ 3,40,000",Independent,N/A,4,4,2,Furnished,2700 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:15:24
"4BHK4BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-rent-in-dlf-capital-greens-1-and-2-moti-nagar-west-delhi-2885-sq-ft-spid-F85571866,Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 2885 Sq. Ft.- 22nd floor (out of 26),₹ 1.25,₹0,N/A,Apartment/Flat,N/A,4,4,3,Furnished,2885 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:15:34
"3BHK3BathsFlat/Apartment for Rentin DLF One Midtown, Moti Nagar, Delhi",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-dlf-one-midtown-moti-nagar-west-delhi-2278-sq-ft-spid-A84171830,Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF One Midtown Moti Nagar Delhi - 2278 Sq. Ft.- 20th floor (out of 39),₹ 1.45,₹0,"₹ 2,90,000",Apartment/Flat,N/A,3,3,2,Furnished,2278 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:15:44
